Roofers Full Name As Stated In Salesforce,Pilot Program?,Wattage Tier 1,Price per watt 1,Wattage Tier 2,Price per watt 2,Wattage Tier 3,Price per watt 3,Wattage Tier 4,Price per watt 4,Template Message,Price per Square,Roofer State,Notes,Adjustments,Roofer Specific Guidelines,Proposal SKUs,Approved for TS,Bulk Partner,Product + Design
1st Class Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
3MG,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
4 Seasons,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A Crown Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A First Choice Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A Sterling Roof,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,TX,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A TEX Roofing & Remodeling Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A+ Roofing and Siding Co.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A1 Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NY,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Above Board Construction & Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
